TIPO_DATO,ENTIDAD,CB114_1,CB114_2,CB114_3,CB114_4,CB121_1,CB121_2,CB121_2_1,CB121_3,CB121_3_1,CB121_3_2,CB121_4,CB121_5,CB121_6,CB121_7,CB121_VACAS,CB122,CB122_01,CB131_1,CB131_2,CB131_3,CB131_3_1,CB131_3_1_1,CB131_NO_CLAS,CB161_1,CB161_2,CB161_3,CB161_4,CB161_NO_CLAS,CP112,CP121_1,CP121_1_1,CP121_2,CP121_2_1,CP121_3,CP121_4,CP121_5,CP121_5_1,CP121_6,CP121_7,CP121_7_3,CP121_DESTETE,CP121_MUEREN,CP131_1,CP131_2,CP131_3,CP131_3_1,CP131_NO_CLAS,ESTATUS
Estimación,Nuevo León,442726,204635,132751,242197,4157,80393,2.6,520883,5.7,511.1,35104,343525,4892,5052, , , ,211534,576904,224357,90666,9515,28303,436111,58105,466822,51757,9515, , , , , , , , , , , ,171579,6.9,21897, , , , , ,Cifras Definitivas
Límite de confianza inferior,Nuevo León,158087,116597,71637,216011,1867,69035,2.5,126889,5.5,501.1,29981,311825,2422,2799, , , ,0,301687,170914,56314,7872,24756,403162,43605,71849,17692,7872, , , , , , , , , , , ,160434,6.8,19664, , , , , ,Cifras Definitivas
Límite de confianza superior,Nuevo León,727366,292673,193865,268383,6446,91752,2.6,914877,5.9,521.1,40227,375225,7363,7305, , , ,432606,852122,277800,125018,11157,31851,469060,72604,861795,85823,11157, , , , , , , , , , , ,182724,7.1,24130, , , , , ,Cifras Definitivas
Coeficiente de variación,Nuevo León,32.8,21.95,23.49,5.52,28.1,7.21,1.2,38.59,1.92,1,7.45,4.71,25.76,22.75, , , ,53.32,24.34,12.15,19.33,8.81,6.4,3.85,12.73,43.17,33.58,8.81, , , , , , , , , , , ,3.31,1.02,5.2, , , , , ,Cifras Definitivas
Estimación,Oaxaca,226534,157761,161165,426217,22711,164444,2.7,156190,5.9,510.7,50832,310987,26923,126072, , , ,176759,588548,124717,9510,81653,113519,505506,336256,33570,14692,81653, , , , , , , , , , , ,214296,7.3,33689, , , , , ,Cifras Definitivas
Límite de confianza inferior,Oaxaca,207432,143421,145497,390119,15391,147548,2.7,134100,5.7,499,42626,262387,18940,105936, , , ,148943,530808,96449,3160,72389,102831,463817,279689,19837,4261,72389, , , , , , , , , , , ,195683,7,28846, , , , , ,Cifras Definitivas
Límite de confianza superior,Oaxaca,245637,172100,176833,462316,30031,181339,2.8,178280,6.1,522.3,59039,359588,34906,146207, , , ,204575,646289,152985,15860,90917,124207,547195,392823,47303,25123,90917, , , , , , , , , , , ,232908,7.5,38532, , , , , ,Cifras Definitivas
Coeficiente de variación,Oaxaca,4.3,4.64,4.96,4.32,16.44,5.24,1.08,7.22,2.08,1.16,8.24,7.97,15.13,8.15, , , ,8.03,5.01,11.56,34.07,5.79,4.8,4.21,8.58,20.87,36.23,5.79, , , , , , , , , , , ,4.43,1.68,7.33, , , , , ,Cifras Definitivas
Estimación,Puebla,88080,95473,72333,123709,2823,44921,2.4,51718,5.5,507.8,10634,98365,51267,47031, , , ,103313,109239,102172,36676,64871,72836,146895,17510,130744,19574,64871, , , , , , , , , , , ,80653,4.9,17046, , , , , ,Cifras Definitivas
Límite de confianza inferior,Puebla,80959,86747,64539,113878,1578,39167,2.3,42622,5.2,488.8,8257,85918,41230,38341, , , ,89486,95014,86504,26952,59504,67309,130421,9633,113676,13036,59504, , , , , , , , , , , ,72929,4.5,14463, , , , , ,Cifras Definitivas
