ENTIDAD,CULTIVO,ESTIMACION,LIMITE_DE_CONFIANZA_INFERIOR,LIMITE_DE_CONFIANZA_SUPERIOR,COEFICIENTE_DE_VARIACION,ESTATUS
Veracruz de Ignacio de la Llave,producción de Caña de azúcar,16282918.90,15764058.90,16801778.80,1.63,Cifras Definitivas
Colima,producción de Limón,0.00,0.00,0.00,0.00,Cifras Definitivas
Michoacán de Ocampo,producción de Limón,390972.83,371489.52,410456.18,2.54,Cifras Definitivas
Michoacán de Ocampo,producción de Mango,153549.29,145192.52,161906.11,2.78,Cifras Definitivas
Nayarit,producción de Mango,372682.96,362791.97,382573.94,1.35,Cifras Definitivas
Puebla,producción de Naranja,151242.07,138042.03,164442.14,4.45,Cifras Definitivas
San Luis Potosí,producción de Naranja,302087.32,284318.14,319856.44,3.00,Cifras Definitivas
Veracruz de Ignacio de la Llave,producción de Naranja,1437736.87,1374397.88,1501075.87,2.25,Cifras Definitivas
Campeche,producción de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Colima,producción de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Chiapas,producción de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Nuevo León,producción de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Oaxaca,producción de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Quintana Roo,producción de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Tabasco,producción de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Yucatán,producción de Pastos,0.00,0.00,0.00,0.00,Cifras Definitivas
Tabasco,producción de Plátano,0.00,0.00,0.00,0.00,Cifras Definitivas
